evidence_standard_met,evidence_standard_met_reason,risk_flags,issue_type,object_part,claim_status,claim_status_justification,supporting_image_ids,valid_image,severity
True,Multiple images improve reliability,medium,damage,bumper,supported,"Detected 'damage' on 'bumper' with 3 image(s), result: supported",images/test/case_001/img_1.jpg;images/test/case_001/img_2.jpg;images/test/case_001/img_3.jpg,True,unknown
False,Single image may be insufficient for reliable verification,high,dent,door,not_enough_information,"Detected 'dent' on 'door' with 1 image(s), result: not_enough_information",none,True,medium
True,Multiple images improve reliability,high,unknown,unknown,not_enough_information,"Detected 'unknown' on 'unknown' with 2 image(s), result: not_enough_information",none,True,unknown
True,Multiple images improve reliability,medium,broken,mirror,supported,"Detected 'broken' on 'mirror' with 2 image(s), result: supported",images/test/case_005/img_1.jpg;images/test/case_005/img_2.jpg,True,high
False,Single image may be insufficient for reliable verification,medium,dent,unknown,not_enough_information,"Detected 'dent' on 'unknown' with 1 image(s), result: not_enough_information",none,True,medium
True,Multiple images improve reliability,none,dent,bumper,supported,"Detected 'dent' on 'bumper' with 2 image(s), result: supported",images/test/case_007/img_1.jpg;images/test/case_007/img_2.jpg,True,medium
True,Multiple images improve reliability,medium,broken,light,supported,"Detected 'broken' on 'light' with 2 image(s), result: supported",images/test/case_008/img_1.jpg;images/test/case_008/img_2.jpg,True,unknown
True,Multiple images improve reliability,high,dent,bumper,supported,"Detected 'dent' on 'bumper' with 3 image(s), result: supported",images/test/case_010/img_1.jpg;images/test/case_010/img_2.jpg;images/test/case_010/img_3.jpg,True,medium
False,Single image may be insufficient for reliable verification,medium,crack,light,not_enough_information,"Detected 'crack' on 'light' with 1 image(s), result: not_enough_information",none,True,unknown
False,Single image may be insufficient for reliable verification,none,crack,unknown,not_enough_information,"Detected 'crack' on 'unknown' with 1 image(s), result: not_enough_information",none,True,unknown
True,Multiple images improve reliability,none,crack,screen,supported,"Detected 'crack' on 'screen' with 2 image(s), result: supported",images/test/case_017/img_1.jpg;images/test/case_017/img_2.jpg,True,unknown
False,Single image may be insufficient for reliable verification,medium,broken,keyboard,not_enough_information,"Detected 'broken' on 'keyboard' with 1 image(s), result: not_enough_information",none,True,high
True,Multiple images improve reliability,medium,crack,screen,supported,"Detected 'crack' on 'screen' with 3 image(s), result: supported",images/test/case_019/img_1.jpg;images/test/case_019/img_2.jpg;images/test/case_019/img_3.jpg,True,unknown
